Equip ID;Minesite;Equipment;Equip Label;On Site Id;Equipment Type;Model;Status;SerialNumber;Commissioning Date;Parent Product Family;Brand;Product Group;Created Date
6598;Agbaou/Mota;RD113;RD113;;777;777D;-1;FKR02038;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6599;Agbaou/Mota;RD121;RD121;;777;777D;-1;FKR02076;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6600;Agbaou/Mota;RD122;RD122;;777;777D;-1;FKR02095;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6601;Agbaou/Mota;RD123;RD123;;777;777D;-1;FKR02096;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6602;Agbaou/Mota;RD129;RD129;;777;777D;-1;FKR02102;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6619;Agbaou/Mota;RD178;RD178;;777;777F;0;JRP01868;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6620;Agbaou/Mota;RD182;RD182;;777;777G;-1;TNM00275;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6603;Agbaou/Mota;RD194;RD194;;777;777E;-1;KDP01556;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6604;Agbaou/Mota;RD195;RD195;;777;777E;-1;KDP01557;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6605;Agbaou/Mota;RD196;RD196;;777;777E;-1;KDP01608;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6606;Agbaou/Mota;RD197;RD197;;777;777E;-1;KDP01609;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6607;Agbaou/Mota;RD198;RD198;;777;777E;-1;KDP01610;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6608;Agbaou/Mota;RD199;RD199;;777;777E;-1;KDP01606;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
6609;Agbaou/Mota;RD200;RD200;;777;777E;-1;KDP01607;12/31/2018 4:00:00 PM;OFF-HIGHWAY TRUCK;CAT;OFF-HIGHWAY TRUCK;12/06/2025
